AgencyName,ArrestYear,ArrestDescription,AdultOrJuvenile,Category,County,months_submitted,refreshdate,ArrestCount
Albany PD,2018,Drug Sale - Marijuana,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Sale - Marijuana,Total,Drug Crimes,Green,12,4/29/2020,1
Albany PD,2018,Drug Sale - Opium/Cocaine,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Sale - Opium/Cocaine,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Sale - Opium/Cocaine,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Sale - Other Dangerous,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Sale - Other Dangerous,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Sale - Other Dangerous,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Sale - Synthetic,Adult,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Sale - Synthetic,Juvenile,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Drug Sale - Synthetic,Total,Drug Crimes,Green,12,4/29/2020,0
Albany PD,2018,Embezzlement,Adult,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Embezzlement,Juvenile,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Embezzlement,Total,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Forgery & Counterfeiting,Adult,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Forgery & Counterfeiting,Juvenile,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Forgery & Counterfeiting,Total,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Fraud,Adult,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Fraud,Juvenile,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Fraud,Total,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Gambling,Adult,Society Crimes,Green,12,4/29/2020,0
Albany PD,2018,Gambling,Juvenile,Society Crimes,Green,12,4/29/2020,0
Albany PD,2018,Gambling,Total,Society Crimes,Green,12,4/29/2020,0
Albany PD,2018,Larceny Theft,Adult,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Larceny Theft,Juvenile,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Larceny Theft,Total,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Liquor Laws,Adult,Society Crimes,Green,12,4/29/2020,2
Albany PD,2018,Liquor Laws,Juvenile,Society Crimes,Green,12,4/29/2020,0
Albany PD,2018,Liquor Laws,Total,Society Crimes,Green,12,4/29/2020,2
Albany PD,2018,Manslaughter by Negligence,Adult,Other Crimes,Green,12,4/29/2020,0
Albany PD,2018,Manslaughter by Negligence,Juvenile,Other Crimes,Green,12,4/29/2020,0
Albany PD,2018,Manslaughter by Negligence,Total,Other Crimes,Green,12,4/29/2020,0
Albany PD,2018,Motor Vehicle Theft,Adult,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Motor Vehicle Theft,Juvenile,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Motor Vehicle Theft,Total,Property Crimes,Green,12,4/29/2020,0
Albany PD,2018,Murder & Nonnegligent Manslaughter,Adult,Violent Crimes,Green,12,4/29/2020,0
Albany PD,2018,Murder & Nonnegligent Manslaughter,Juvenile,Violent Crimes,Green,12,4/29/2020,0
Albany PD,2018,Murder & Nonnegligent Manslaughter,Total,Violent Crimes,Green,12,4/29/2020,0
Albany PD,2018,Offenses Against Family and Children,Adult,Other Crimes,Green,12,4/29/2020,0
